Category: All categories

Day,Bitcoin: (Worldwide)
2013-08-01,69
2013-08-02,60
2013-08-03,61
2013-08-04,67
2013-08-05,77
2013-08-06,65
2013-08-07,66
2013-08-08,76
2013-08-09,73
2013-08-10,58
2013-08-11,67
2013-08-12,85
2013-08-13,85
2013-08-14,100
2013-08-15,94
2013-08-16,83
2013-08-17,78
2013-08-18,76
2013-08-19,93
2013-08-20,98
2013-08-21,95
2013-08-22,85
2013-08-23,73
2013-08-24,70
2013-08-25,73
2013-08-26,69
2013-08-27,90
2013-08-28,80
2013-08-29,72
2013-08-30,79
2013-08-31,72
2013-09-01,66
