Category: All categories

Day,Bitcoin: (Worldwide)
2014-10-01,68
2014-10-02,68
2014-10-03,71
2014-10-04,76
2014-10-05,94
2014-10-06,100
2014-10-07,84
2014-10-08,82
2014-10-09,74
2014-10-10,75
2014-10-11,67
2014-10-12,62
2014-10-13,67
2014-10-14,75
2014-10-15,74
2014-10-16,68
2014-10-17,66
2014-10-18,65
2014-10-19,60
2014-10-20,60
2014-10-21,65
2014-10-22,59
2014-10-23,64
2014-10-24,62
2014-10-25,60
2014-10-26,56
2014-10-27,58
2014-10-28,60
2014-10-29,64
2014-10-30,60
2014-10-31,53
2014-11-01,55
