Category: All categories

Day,Dogecoin: (Worldwide)
2015-10-01,100
2015-10-02,50
2015-10-03,73
2015-10-04,77
2015-10-05,61
2015-10-06,70
2015-10-07,75
2015-10-08,78
2015-10-09,71
2015-10-10,84
2015-10-11,84
2015-10-12,65
2015-10-13,60
2015-10-14,58
2015-10-15,78
2015-10-16,61
2015-10-17,92
2015-10-18,65
2015-10-19,68
2015-10-20,60
2015-10-21,70
2015-10-22,85
2015-10-23,86
2015-10-24,80
2015-10-25,73
2015-10-26,62
2015-10-27,96
2015-10-28,56
2015-10-29,68
2015-10-30,86
2015-10-31,82
2015-11-01,92
