Category: All categories

Day,Litecoin: (Worldwide)
2014-01-05,83
2014-01-06,100
2014-01-07,91
2014-01-08,72
2014-01-09,87
2014-01-10,83
2014-01-11,82
2014-01-12,75
2014-01-13,75
2014-01-14,80
2014-01-15,78
2014-01-16,70
2014-01-17,74
2014-01-18,66
2014-01-19,67
2014-01-20,69
2014-01-21,74
2014-01-22,76
2014-01-23,76
2014-01-24,81
2014-01-25,72
2014-01-26,77
2014-01-27,68
2014-01-28,74
2014-01-29,73
2014-01-30,68
2014-01-31,65
2014-02-01,64
2014-02-02,73
2014-02-03,62
2014-02-04,61
2014-02-05,57
