Category: All categories

Day,Bitcoin: (Worldwide)
2015-12-01,38
2015-12-02,35
2015-12-03,36
2015-12-04,33
2015-12-05,34
2015-12-06,38
2015-12-07,39
2015-12-08,48
2015-12-09,100
2015-12-10,65
2015-12-11,51
2015-12-12,48
2015-12-13,44
2015-12-14,42
2015-12-15,46
2015-12-16,48
2015-12-17,42
2015-12-18,41
2015-12-19,37
2015-12-20,38
2015-12-21,40
2015-12-22,36
2015-12-23,40
2015-12-24,39
2015-12-25,36
2015-12-26,42
2015-12-27,40
2015-12-28,41
2015-12-29,40
2015-12-30,39
2015-12-31,34
2016-01-01,34
