Category: All categories

Day,Ripple: (Worldwide)
2017-04-05,67
2017-04-06,69
2017-04-07,61
2017-04-08,60
2017-04-09,50
2017-04-10,53
2017-04-11,57
2017-04-12,63
2017-04-13,54
2017-04-14,51
2017-04-15,48
2017-04-16,41
2017-04-17,53
2017-04-18,53
2017-04-19,55
2017-04-20,55
2017-04-21,52
2017-04-22,50
2017-04-23,47
2017-04-24,56
2017-04-25,55
2017-04-26,53
2017-04-27,60
2017-04-28,75
2017-04-29,72
2017-04-30,66
2017-05-01,69
2017-05-02,75
2017-05-03,73
2017-05-04,96
2017-05-05,100
