Category: All categories

Day,Litecoin: (Worldwide)
2013-05-05,100
2013-05-06,81
2013-05-07,85
2013-05-08,78
2013-05-09,78
2013-05-10,70
2013-05-11,81
2013-05-12,82
2013-05-13,70
2013-05-14,70
2013-05-15,57
2013-05-16,57
2013-05-17,50
2013-05-18,59
2013-05-19,52
2013-05-20,44
2013-05-21,54
2013-05-22,53
2013-05-23,49
2013-05-24,54
2013-05-25,40
2013-05-26,47
2013-05-27,56
2013-05-28,40
2013-05-29,54
2013-05-30,55
2013-05-31,52
2013-06-01,49
2013-06-02,53
2013-06-03,51
2013-06-04,45
2013-06-05,62
