Category: All categories

Day,Litecoin: (Worldwide)
2013-08-05,82
2013-08-06,83
2013-08-07,60
2013-08-08,69
2013-08-09,50
2013-08-10,62
2013-08-11,69
2013-08-12,89
2013-08-13,66
2013-08-14,72
2013-08-15,100
2013-08-16,86
2013-08-17,71
2013-08-18,75
2013-08-19,85
2013-08-20,76
2013-08-21,68
2013-08-22,64
2013-08-23,83
2013-08-24,57
2013-08-25,57
2013-08-26,71
2013-08-27,59
2013-08-28,63
2013-08-29,64
2013-08-30,97
2013-08-31,90
2013-09-01,90
2013-09-02,61
2013-09-03,56
2013-09-04,63
2013-09-05,79
