Category: All categories

Day,Bitcoin: (Worldwide)
2013-07-01,65
2013-07-02,100
2013-07-03,71
2013-07-04,61
2013-07-05,61
2013-07-06,60
2013-07-07,52
2013-07-08,53
2013-07-09,54
2013-07-10,56
2013-07-11,52
2013-07-12,54
2013-07-13,47
2013-07-14,45
2013-07-15,47
2013-07-16,44
2013-07-17,42
2013-07-18,44
2013-07-19,45
2013-07-20,40
2013-07-21,42
2013-07-22,48
2013-07-23,48
2013-07-24,53
2013-07-25,48
2013-07-26,44
2013-07-27,43
2013-07-28,48
2013-07-29,50
2013-07-30,59
2013-07-31,55
2013-08-01,51
