Category: All categories

Day,Bitcoin: (Worldwide)
2014-01-01,62
2014-01-02,67
2014-01-03,73
2014-01-04,62
2014-01-05,73
2014-01-06,90
2014-01-07,86
2014-01-08,82
2014-01-09,80
2014-01-10,80
2014-01-11,70
2014-01-12,69
2014-01-13,72
2014-01-14,73
2014-01-15,74
2014-01-16,84
2014-01-17,87
2014-01-18,65
2014-01-19,66
2014-01-20,78
2014-01-21,82
2014-01-22,90
2014-01-23,80
2014-01-24,77
2014-01-25,65
2014-01-26,66
2014-01-27,92
2014-01-28,100
2014-01-29,77
2014-01-30,69
2014-01-31,62
2014-02-01,57
