Category: All categories

Day,Dogecoin: (Worldwide)
2016-10-01,79
2016-10-02,68
2016-10-03,63
2016-10-04,48
2016-10-05,71
2016-10-06,56
2016-10-07,82
2016-10-08,59
2016-10-09,82
2016-10-10,66
2016-10-11,71
2016-10-12,52
2016-10-13,61
2016-10-14,71
2016-10-15,100
2016-10-16,60
2016-10-17,72
2016-10-18,82
2016-10-19,57
2016-10-20,83
2016-10-21,50
2016-10-22,53
2016-10-23,46
2016-10-24,73
2016-10-25,52
2016-10-26,57
2016-10-27,56
2016-10-28,48
2016-10-29,71
2016-10-30,61
2016-10-31,47
2016-11-01,72
