Category: All categories

Day,Dogecoin: (Worldwide)
2014-08-01,66
2014-08-02,82
2014-08-03,75
2014-08-04,62
2014-08-05,62
2014-08-06,77
2014-08-07,65
2014-08-08,61
2014-08-09,78
2014-08-10,76
2014-08-11,76
2014-08-12,79
2014-08-13,94
2014-08-14,72
2014-08-15,74
2014-08-16,72
2014-08-17,55
2014-08-18,80
2014-08-19,65
2014-08-20,64
2014-08-21,47
2014-08-22,71
2014-08-23,80
2014-08-24,77
2014-08-25,69
2014-08-26,100
2014-08-27,72
2014-08-28,93
2014-08-29,78
2014-08-30,77
2014-08-31,77
2014-09-01,74
