Category: All categories

Day,Bitcoin: (Worldwide)
2018-03-01,80
2018-03-02,81
2018-03-03,76
2018-03-04,69
2018-03-05,80
2018-03-06,80
2018-03-07,90
2018-03-08,87
2018-03-09,97
2018-03-10,72
2018-03-11,72
2018-03-12,81
2018-03-13,76
2018-03-14,89
2018-03-15,100
2018-03-16,82
2018-03-17,75
2018-03-18,89
2018-03-19,86
2018-03-20,81
2018-03-21,78
2018-03-22,75
2018-03-23,69
2018-03-24,62
2018-03-25,59
2018-03-26,83
2018-03-27,77
2018-03-28,71
2018-03-29,84
2018-03-30,95
2018-03-31,70
2018-04-01,74
