Category: All categories

Day,Dogecoin: (Worldwide)
2016-05-01,96
2016-05-02,91
2016-05-03,73
2016-05-04,69
2016-05-05,86
2016-05-06,98
2016-05-07,82
2016-05-08,67
2016-05-09,70
2016-05-10,91
2016-05-11,77
2016-05-12,88
2016-05-13,79
2016-05-14,75
2016-05-15,65
2016-05-16,85
2016-05-17,68
2016-05-18,87
2016-05-19,88
2016-05-20,83
2016-05-21,86
2016-05-22,83
2016-05-23,54
2016-05-24,71
2016-05-25,76
2016-05-26,87
2016-05-27,61
2016-05-28,76
2016-05-29,100
2016-05-30,88
2016-05-31,83
2016-06-01,91
