Category: All categories

Day,Bitcoin: (Worldwide)
2015-10-01,66
2015-10-02,60
2015-10-03,61
2015-10-04,65
2015-10-05,67
2015-10-06,72
2015-10-07,70
2015-10-08,67
2015-10-09,70
2015-10-10,65
2015-10-11,64
2015-10-12,66
2015-10-13,66
2015-10-14,69
2015-10-15,68
2015-10-16,67
2015-10-17,71
2015-10-18,70
2015-10-19,72
2015-10-20,79
2015-10-21,77
2015-10-22,82
2015-10-23,75
2015-10-24,71
2015-10-25,80
2015-10-26,79
2015-10-27,82
2015-10-28,81
2015-10-29,90
2015-10-30,100
2015-10-31,88
2015-11-01,99
