Category: All categories

Day,Dogecoin: (Worldwide)
2017-01-01,50
2017-01-02,87
2017-01-03,77
2017-01-04,88
2017-01-05,95
2017-01-06,72
2017-01-07,100
2017-01-08,63
2017-01-09,62
2017-01-10,78
2017-01-11,51
2017-01-12,72
2017-01-13,48
2017-01-14,59
2017-01-15,60
2017-01-16,62
2017-01-17,61
2017-01-18,64
2017-01-19,58
2017-01-20,51
2017-01-21,69
2017-01-22,62
2017-01-23,67
2017-01-24,85
2017-01-25,63
2017-01-26,48
2017-01-27,48
2017-01-28,58
2017-01-29,79
2017-01-30,83
2017-01-31,69
2017-02-01,74
