Category: All categories

Day,Dogecoin: (Worldwide)
2017-07-01,76
2017-07-02,70
2017-07-03,64
2017-07-04,79
2017-07-05,78
2017-07-06,75
2017-07-07,82
2017-07-08,70
2017-07-09,85
2017-07-10,87
2017-07-11,100
2017-07-12,81
2017-07-13,62
2017-07-14,67
2017-07-15,79
2017-07-16,73
2017-07-17,80
2017-07-18,80
2017-07-19,79
2017-07-20,76
2017-07-21,66
2017-07-22,84
2017-07-23,79
2017-07-24,72
2017-07-25,80
2017-07-26,88
2017-07-27,74
2017-07-28,67
2017-07-29,71
2017-07-30,78
2017-07-31,79
2017-08-01,78
