Category: All categories

Day,Ripple: (Worldwide)
2017-07-05,80
2017-07-06,77
2017-07-07,78
2017-07-08,79
2017-07-09,76
2017-07-10,88
2017-07-11,100
2017-07-12,95
2017-07-13,88
2017-07-14,72
2017-07-15,72
2017-07-16,82
2017-07-17,82
2017-07-18,87
2017-07-19,83
2017-07-20,90
2017-07-21,96
2017-07-22,98
2017-07-23,88
2017-07-24,96
2017-07-25,89
2017-07-26,84
2017-07-27,85
2017-07-28,74
2017-07-29,81
2017-07-30,75
2017-07-31,81
2017-08-01,88
2017-08-02,92
2017-08-03,83
2017-08-04,79
2017-08-05,87
