Category: All categories

Day,Bitcoin: (Worldwide)
2018-01-01,45
2018-01-02,54
2018-01-03,53
2018-01-04,52
2018-01-05,50
2018-01-06,44
2018-01-07,45
2018-01-08,50
2018-01-09,48
2018-01-10,50
2018-01-11,56
2018-01-12,46
2018-01-13,41
2018-01-14,38
2018-01-15,38
2018-01-16,75
2018-01-17,100
2018-01-18,70
2018-01-19,50
2018-01-20,41
2018-01-21,39
2018-01-22,45
2018-01-23,44
2018-01-24,39
2018-01-25,38
2018-01-26,38
2018-01-27,32
2018-01-28,31
2018-01-29,32
2018-01-30,36
2018-01-31,38
2018-02-01,49
