Category: All categories

Day,Bitcoin: (Worldwide)
2017-10-01,39
2017-10-02,44
2017-10-03,44
2017-10-04,41
2017-10-05,42
2017-10-06,39
2017-10-07,37
2017-10-08,42
2017-10-09,51
2017-10-10,51
2017-10-11,50
2017-10-12,81
2017-10-13,100
2017-10-14,67
2017-10-15,63
2017-10-16,63
2017-10-17,61
2017-10-18,62
2017-10-19,60
2017-10-20,71
2017-10-21,80
2017-10-22,65
2017-10-23,76
2017-10-24,81
2017-10-25,73
2017-10-26,71
2017-10-27,61
2017-10-28,53
2017-10-29,57
2017-10-30,69
2017-10-31,81
2017-11-01,98
