Category: All categories

Day,Ripple: (Worldwide)
2015-03-05,95
2015-03-06,94
2015-03-07,94
2015-03-08,93
2015-03-09,94
2015-03-10,100
2015-03-11,81
2015-03-12,81
2015-03-13,98
2015-03-14,79
2015-03-15,77
2015-03-16,98
2015-03-17,93
2015-03-18,94
2015-03-19,99
2015-03-20,87
2015-03-21,76
2015-03-22,76
2015-03-23,90
2015-03-24,88
2015-03-25,83
2015-03-26,89
2015-03-27,79
2015-03-28,86
2015-03-29,83
2015-03-30,70
2015-03-31,83
2015-04-01,93
2015-04-02,93
2015-04-03,79
2015-04-04,80
2015-04-05,78
