Category: All categories

Day,Dogecoin: (Worldwide)
2014-10-01,97
2014-10-02,83
2014-10-03,75
2014-10-04,74
2014-10-05,78
2014-10-06,82
2014-10-07,89
2014-10-08,60
2014-10-09,66
2014-10-10,47
2014-10-11,72
2014-10-12,63
2014-10-13,53
2014-10-14,60
2014-10-15,82
2014-10-16,65
2014-10-17,49
2014-10-18,73
2014-10-19,76
2014-10-20,52
2014-10-21,67
2014-10-22,73
2014-10-23,61
2014-10-24,68
2014-10-25,75
2014-10-26,96
2014-10-27,100
2014-10-28,70
2014-10-29,68
2014-10-30,61
2014-10-31,65
2014-11-01,62
