Category: All categories

Day,Dogecoin: (Worldwide)
2016-08-01,89
2016-08-02,70
2016-08-03,99
2016-08-04,80
2016-08-05,80
2016-08-06,78
2016-08-07,74
2016-08-08,99
2016-08-09,78
2016-08-10,60
2016-08-11,87
2016-08-12,70
2016-08-13,67
2016-08-14,79
2016-08-15,77
2016-08-16,90
2016-08-17,84
2016-08-18,92
2016-08-19,67
2016-08-20,52
2016-08-21,100
2016-08-22,67
2016-08-23,61
2016-08-24,81
2016-08-25,88
2016-08-26,73
2016-08-27,71
2016-08-28,59
2016-08-29,74
2016-08-30,62
2016-08-31,84
2016-09-01,69
