Category: All categories

Day,Bitcoin: (Worldwide)
2016-03-01,98
2016-03-02,90
2016-03-03,100
2016-03-04,91
2016-03-05,93
2016-03-06,85
2016-03-07,95
2016-03-08,92
2016-03-09,86
2016-03-10,82
2016-03-11,84
2016-03-12,79
2016-03-13,81
2016-03-14,90
2016-03-15,93
2016-03-16,88
2016-03-17,85
2016-03-18,85
2016-03-19,77
2016-03-20,76
2016-03-21,81
2016-03-22,89
2016-03-23,83
2016-03-24,85
2016-03-25,82
2016-03-26,78
2016-03-27,80
2016-03-28,87
2016-03-29,90
2016-03-30,88
2016-03-31,89
2016-04-01,81
