Category: All categories

Day,Litecoin: (Worldwide)
2014-10-05,67
2014-10-06,100
2014-10-07,82
2014-10-08,81
2014-10-09,77
2014-10-10,75
2014-10-11,66
2014-10-12,84
2014-10-13,57
2014-10-14,67
2014-10-15,65
2014-10-16,71
2014-10-17,74
2014-10-18,45
2014-10-19,78
2014-10-20,46
2014-10-21,57
2014-10-22,74
2014-10-23,54
2014-10-24,70
2014-10-25,56
2014-10-26,71
2014-10-27,46
2014-10-28,57
2014-10-29,88
2014-10-30,51
2014-10-31,50
2014-11-01,40
2014-11-02,78
2014-11-03,60
2014-11-04,58
2014-11-05,71
