Category: All categories

Day,Litecoin: (Worldwide)
2016-01-05,63
2016-01-06,61
2016-01-07,65
2016-01-08,76
2016-01-09,78
2016-01-10,76
2016-01-11,86
2016-01-12,75
2016-01-13,68
2016-01-14,88
2016-01-15,85
2016-01-16,100
2016-01-17,66
2016-01-18,83
2016-01-19,88
2016-01-20,85
2016-01-21,86
2016-01-22,89
2016-01-23,90
2016-01-24,98
2016-01-25,57
2016-01-26,78
2016-01-27,80
2016-01-28,58
2016-01-29,68
2016-01-30,63
2016-01-31,70
2016-02-01,60
2016-02-02,77
2016-02-03,66
2016-02-04,52
2016-02-05,62
