Category: All categories

Day,Dogecoin: (Worldwide)
2014-03-01,85
2014-03-02,81
2014-03-03,97
2014-03-04,95
2014-03-05,80
2014-03-06,79
2014-03-07,79
2014-03-08,75
2014-03-09,77
2014-03-10,73
2014-03-11,81
2014-03-12,65
2014-03-13,62
2014-03-14,61
2014-03-15,70
2014-03-16,62
2014-03-17,59
2014-03-18,64
2014-03-19,79
2014-03-20,100
2014-03-21,80
2014-03-22,73
2014-03-23,68
2014-03-24,73
2014-03-25,75
2014-03-26,80
2014-03-27,87
2014-03-28,80
2014-03-29,71
2014-03-30,66
2014-03-31,57
2014-04-01,56
