Category: All categories

Day,Bitcoin: (Worldwide)
2015-01-01,49
2015-01-02,55
2015-01-03,58
2015-01-04,68
2015-01-05,68
2015-01-06,76
2015-01-07,63
2015-01-08,59
2015-01-09,63
2015-01-10,60
2015-01-11,52
2015-01-12,57
2015-01-13,73
2015-01-14,100
2015-01-15,90
2015-01-16,75
2015-01-17,61
2015-01-18,57
2015-01-19,54
2015-01-20,57
2015-01-21,61
2015-01-22,59
2015-01-23,59
2015-01-24,56
2015-01-25,59
2015-01-26,82
2015-01-27,67
2015-01-28,64
2015-01-29,60
2015-01-30,57
2015-01-31,50
2015-02-01,56
