Category: All categories

Day,Litecoin: (Worldwide)
2014-05-05,73
2014-05-06,85
2014-05-07,69
2014-05-08,63
2014-05-09,66
2014-05-10,61
2014-05-11,54
2014-05-12,62
2014-05-13,55
2014-05-14,68
2014-05-15,67
2014-05-16,66
2014-05-17,65
2014-05-18,63
2014-05-19,58
2014-05-20,61
2014-05-21,72
2014-05-22,86
2014-05-23,62
2014-05-24,72
2014-05-25,61
2014-05-26,70
2014-05-27,62
2014-05-28,67
2014-05-29,62
2014-05-30,65
2014-05-31,74
2014-06-01,100
2014-06-02,76
2014-06-03,78
2014-06-04,70
2014-06-05,61
