Category: All categories

Day,Litecoin: (Worldwide)
2016-05-05,76
2016-05-06,69
2016-05-07,61
2016-05-08,57
2016-05-09,63
2016-05-10,77
2016-05-11,81
2016-05-12,45
2016-05-13,68
2016-05-14,40
2016-05-15,56
2016-05-16,69
2016-05-17,50
2016-05-18,48
2016-05-19,74
2016-05-20,66
2016-05-21,68
2016-05-22,47
2016-05-23,46
2016-05-24,51
2016-05-25,53
2016-05-26,72
2016-05-27,48
2016-05-28,70
2016-05-29,96
2016-05-30,84
2016-05-31,72
2016-06-01,92
2016-06-02,81
2016-06-03,80
2016-06-04,100
2016-06-05,66
