Category: All categories

Day,Dogecoin: (Worldwide)
2015-08-01,48
2015-08-02,58
2015-08-03,52
2015-08-04,57
2015-08-05,53
2015-08-06,62
2015-08-07,56
2015-08-08,65
2015-08-09,80
2015-08-10,58
2015-08-11,62
2015-08-12,69
2015-08-13,68
2015-08-14,65
2015-08-15,74
2015-08-16,40
2015-08-17,60
2015-08-18,59
2015-08-19,64
2015-08-20,60
2015-08-21,50
2015-08-22,100
2015-08-23,81
2015-08-24,58
2015-08-25,57
2015-08-26,67
2015-08-27,59
2015-08-28,67
2015-08-29,45
2015-08-30,70
2015-08-31,66
2015-09-01,50
