Category: All categories

Day,Bitcoin: (Worldwide)
2017-12-01,37
2017-12-02,30
2017-12-03,30
2017-12-04,34
2017-12-05,35
2017-12-06,47
2017-12-07,96
2017-12-08,84
2017-12-09,58
2017-12-10,54
2017-12-11,63
2017-12-12,59
2017-12-13,53
2017-12-14,46
2017-12-15,43
2017-12-16,42
2017-12-17,47
2017-12-18,48
2017-12-19,51
2017-12-20,68
2017-12-21,51
2017-12-22,100
2017-12-23,61
2017-12-24,47
2017-12-25,41
2017-12-26,40
2017-12-27,37
2017-12-28,38
2017-12-29,33
2017-12-30,32
2017-12-31,27
2018-01-01,26
