Time Stamp,Username,Topic,Text,Direction,Views,Cmt.Num,Like
1530309692.0,yingli.zhao2,timing,"
possible turn in  3 months.
",Short,70,0,0
1530309118.0,eminilkinoglu5,xrpusd,"
xrpusd 1h  butterfly bullish pattern 
",,66,0,0
1530302181.0,DavidBeckwith,"XRP: the higher they fly, the harder they fall","
Possible shorting opportunity for XRP from $0.42 to $0.28 for 50% profit.
",Short,89,0,0
