ID,Tweet,Time,User,Likes,Replies,Retweet,in_response_to,response_type
,,,StellarOverload,0,0,0,,tweet
810257627368321025,fragile: protect with your lifepic.twitter.com/KJohB8UB4A,1482015446,str_angel_y,7,0,1,0,reply
810186320270106624,Told Montse i'd take her out to lunch anywhere for her birthday but she won't decide  i'm about to take her indecisive ass to Costco ,1481998445,stellar_kaida,11,1,0,0,reply
810270962931396608,so innocentpic.twitter.com/7wM9isbq8w,1482018626,str_angel_y,3,0,1,0,reply
810236357805297664,"[#HQ's] 13.12.16 | Bulldok e Stellar nos Bastidores do Good Concert.

cr.: Break News pic.twitter.com/RnCG5MmXbU",1482010375,fanbaseinativa,3,0,5,0,reply
810254801233735680,"MBB | Motley leads Rangers to victory over Randall, 82-72, with a stellar 26-point performance! #RRR",1482014773,NWOSUAthletics,11,0,8,0,reply
810271832402104320,"#NowWatching Cloud Atlas
(an underappreciated symbolic sci-fi epic, beautifully shot and written with a stellar cast) pic.twitter.com/JJOjY0OH0k",1482018833,TheOnlyJamesMan,6,1,1,0,reply
810266894766903297,"8. Dr. King Schultz 
- one of the best character Tarantino has ever made
- Christoph Waltz gives a stellar performance
- shady but helpful pic.twitter.com/BLIg0rztuj",1482017656,BenMontero36,9,1,4,810254688679587840,reply
810264114509545472,"If you live in the Texas are and need cookies, you have gotta check out Stellar Bakes, their work is amazing! https://www.facebook.com/stellarbakes/?hc_ref=NEWSFEED&fref=nf …pic.twitter.com/0JjvtfI2Z2",1482016993,ShawnRobare,9,1,1,0,reply
810258277657260032,.@MsCharlotteWWE is 12 for 12 in title matches on @WWE PPV Sundays - read about her stellar record: http://skysports.tv/IvpbTc  #WWERoadblockpic.twitter.com/UbLjFq3Oy2,1482015601,SkySportsWWE,5,0,2,0,reply
810251236708487170,"I'm nominated for THREE Stellar Awards! Please vote. 

Go here and click on the Stellar ballot icon to vote:... http://fb.me/8q00KnozR ",1482013923,JButlerGuitar,24,2,11,0,reply
810239301128777732,The best part of #RogueOne was seeing my 9-year-old lose his shit when the AT-ATs showed up. What a stellar film.,1482011077,BookishPlinko,23,1,0,0,reply
810235986303139840,That was one of the most complete wins this year. Helped by a few crossbars and some stellar goaltending by Niemi.,1482010287,DefendingBigD,48,3,8,0,reply
810232542561521665,Congratulations to Kiandra Bowers and Kyla Green on their stellar academic performances this semester! 4.0 Crew! #STUDENTathletes pic.twitter.com/3tr9xTGfI7,1482009466,LamarWBB,33,0,12,0,reply
