ID,Tweet,Time,User,Likes,Replies,Retweet,in_response_to,response_type
,,,StellarOverload,0,0,0,,tweet
855897870154829824,"Nuge was on fire, CG 2 R, 5 H, stellar defense. NTBB beats Barrington 8-2.  JV win 3-0 also with great defense. Trevs are 13-3. pic.twitter.com/OKwuomHlIz",1492896928,CoachNaps22,15,0,5,0,reply
855912442043543552,Heartless kidpic.twitter.com/PUW7fTANT5,1492900402,str_xr,20,0,7,0,reply
855927996070285312,14 hours to go. we are still P1. #iRacingNurburgring24pic.twitter.com/MAHZQSLxOq,1492904111,STR_official_,2,0,2,0,reply
855872822928965632,"Survival Saturday @SohamTownRanger
STR 1 M/t 0
STR 1 M/t 1
H/t
STR 1 M/t 2
STR 2 M/t 2
STR 2 M/t 3
STR 3 M/t 3
STR 4 M/t 3 
F/t",1492890956,nonleagueFCTV,5,0,3,0,reply
855845110327771136,"The last ""Stellar!"" team member for this #cutiesaturdaypic.twitter.com/8rxGVz4oQj",1492884349,sshmabss,12,0,3,0,reply
855899051748843520,Helped make things for the e-fed season I'm a member of. Turned out pretty stellar. pic.twitter.com/d6k6ZEIgMw,1492897210,OfficerBrightly,14,3,3,0,reply
855900742971830272,"8 hours down, 16 to go, and we've currently got the #5 Mazda MX-5 in 1st position. #iRacingNurburgring24pic.twitter.com/ligImu4HS2",1492897613,STR_official_,1,0,2,0,reply
855931726358511616,Stellar inning for Steven Wright!,1492905000,cushmanMLB,29,3,1,0,reply
855825013596966913,"got amazing friends, im happy, life is good",1492879558,str_y_ker,9,0,3,0,reply
855892110683373574,This weekend has been absolutely stellar and we hope everyone has had a blast! Who's ready for Greek Sing tomorrow?! ,1492895555,BG_GreekWeek17,32,0,5,0,reply
855910606507061248,I got my friend who's a kpop anti to actually like Stellar pic.twitter.com/zV0ekwEmwK,1492899965,agbstellar,14,0,2,0,reply
855854136067338240,"Update for Global Dokkan
Next events should be STR Cell, Family Galick Gun then MZ/INT Trunks
(If it goes in that order minus Double Rates)",1492886501,RikuTheBestYT,22,3,1,0,reply
855898535681773568,#USA #NewYork - Suspicious vehicle in front of French consulate. Voting interrupted. Building evacuated. 5th Ave sealed betw 70th & 78th str,1492897087,TerrorEvents,13,0,62,0,reply
855925928786112514,"Britney has bops but she can't sing live, can't dance, and doesn't have longevity. Beyoncé'a discography is stellar https://twitter.com/bourbon_biscuit/status/855925324332371968 … <quoted_status> Irrelevant. That’s like asking what Earth Wind and Fire are doing rn. They’re still greater than the majority https://twitter.com/AmarRenee/status/855924028233715712 …</quoted_status>",1492903618,AmarRenee,12,2,3,855925324332371968,quoted_retweet
855924990037827584,Personal favorite signs at today's stellar #marchforsciencesf. #marchforsciencepic.twitter.com/exwC6sfP1m – at Justin Herman Plaza,1492903394,zakijam,33,0,7,0,reply
855921470077382657,.@LDalatri continued his stellar rookie campaign with another deep outing Saturday: http://www.goheels.com/ViewArticle.dbml?DB_OEM_ID=3350&ATCLID=211568474 …,1492902555,DiamondHeels,99,0,17,0,reply
855911909626925056,Courtney Cashman continues her stellar freshman campaign! She was 2-2 at the plate with a homer in @RiverhawkSB's win in Game 2 #AESBpic.twitter.com/Lqkl97DqHE,1492900275,AmericaEast,19,0,1,0,reply
855909560938184704,Shane Peterson makes a stellar catch in left as the @RaysBaseball and Astros are tied after 1. Watch live now on FOX Sports Sun! #RaysUppic.twitter.com/FgXGkjZPeL,1492899716,FOXSportsFL,12,1,3,0,reply
855904052412129282,"ICYMI: The Stellar Residences and Townhomes at Northstar in Truckee, Calif.won the 2017 AIA Housing Award. http://bit.ly/2oLlG6M pic.twitter.com/JnHurksPke",1492898402,architectmag,25,0,8,0,reply
855895196587962369,We canvass every day even when the weather isn't stellar! Hit the streets with us or be a block captain! Sign up: http://Julie95.org pic.twitter.com/QnigEucRpE,1492896291,byrdashworth,11,0,7,0,reply
855892110683373574,This weekend has been absolutely stellar and we hope everyone has had a blast! Who's ready for Greek Sing tomorrow?! ,1492895555,BG_GreekWeek17,32,0,5,0,reply
855884574588493824,I will forgive Mother Nature for the endless rain if we have a stellar summer but I'm gonna be so sad if that's not the case,1492893758,evan_slate,24,0,1,0,reply
855882244237303809,"RIP Hubert Dreyfus, by all accounts you were a stellar and inspiring teacher. https://twitter.com/ericlinuskaplan/status/855837455617937408 … <quoted_status> Hubert Dreyfus (1929-2017) a great man, a courageous thinker, a passionate teacher.  May his memory be a blessing.</quoted_status>",1492893203,tPhilosophia,20,0,18,855837455617937408,quoted_retweet
855876818720759808,"Manchester United fear Zlatan Ibrahimovic's stellar career is over following double cruciate rupture. #MUFC #SWE
@ST_Sportpic.twitter.com/UMMkCufGvY",1492891909,DuncanCastles,18,9,71,855523832425308160,reply
855872928398888963,"A stellar swim from @BenProud on the penultimate day of #BSC17 saw him destroy his own  record!
Take a read... https://www.britishswimming.org/news/latest-swimming-news/proud-smashes-50m-free-british-record/ …",1492890982,britishswimming,47,1,4,0,reply
855863626724384768,8DAYS TO MAVEN AJITH BDAY@iam_str pic.twitter.com/I8Y7EUdPiG,1492888764,Thalafansml,79,0,16,0,reply
855856972981317632,"Emmanuel Miller been stellar today, involved in every play, rebounding, defending and finishing at rim with contact #EYBL #E16 @UPLAYCanada",1492887178,Elias_NPH,10,0,3,0,reply
855853465867780096,5 Stellar Women of Space Science http://buff.ly/2oxVyc1  via @HistoricEnglandpic.twitter.com/LH0wSrPc5I,1492886341,vivianpark_,15,0,9,0,reply
855844789513629698,"#AmericanAirlines Suspends Staffer 'Violently' Hits Mother, Narrowly Misses Baby With Str... https://goo.gl/vgtUE5 pic.twitter.com/GrcTq6YBtA",1492884273,TheWrap,20,7,29,0,reply
855842931936305152,Local Alum @Clarke13S Had A Stellar Freshman Spring Season As He Scored 3 & Assisted 1 On 4/5 Cincy Goals All Spring As They Finished 3-1-1! pic.twitter.com/R9DSWbJr2W,1492883830,DMVsoccer96,27,0,4,0,reply
855830853305458689,"#AishwaryaRaiBachchan's stellar performance in #Sarabjit wins hearts, and an award!http://shethepeople.tv/aishwarya-honoured-with-dadasaheb-phalke-award-for-sarbjit/ …",1492880950,SheThePeopleTV,34,0,19,0,reply
855828547801198593,"ICYMI: The Stellar Residences and Townhomes at Northstar in Truckee, Calif.won the 2017 AIA Housing Award. http://bit.ly/2oLlG6M pic.twitter.com/5UlxLtUvqb",1492880400,architectmag,18,0,4,0,reply
855826959821090816,Hull 2-0 Watford: Ten-man Tigers produce stellar second-half display: http://skysports.tv/3hVVJW pic.twitter.com/FbZjb2maU5,1492880022,SkySportsPL,55,3,20,0,reply
855821226463416320,"Shoutout to Johnny Lobbia @jlow228 on a stellar outing. 7 IP, 0 ER, 7 H, 2 BB, 9 Ks",1492878655,DCCBaseball1,22,0,8,0,reply
855819347025068033,Complete game shut out Martino stellar on the mound! No Hitter!!! Malden 2 Medford 0 @NewsMaldenMA @BostonHeraldHSpic.twitter.com/KA4VdkpT4h,1492878207,MaldenHS_Sports,33,1,19,0,reply
855816489340948480,"The Blues put on a stellar show at the Fortress, claiming a 7-0 win over @dskshivajians at the Fortress: http://bit.ly/2oU11O1  #BFCvDSKpic.twitter.com/EDnslW7YiE",1492877526,bengalurufc,49,0,8,0,reply
855813604918120449,"Feige also expressed his confidence in Larson to deliver a stellar, well-rounded performance as Captain Marvel. So do we! #accuate #bestteampic.twitter.com/u2ExXg4ktK",1492876838,CaptMarvelNews,27,1,2,0,reply
855810453326282752,"WATCH: @glocdash9 teams up with @KZofficial for a stellar #MYXLive performance of #Industriya! 

http://myxph.com/features/30039/watch-gloc-9-teams-up-with-kz-for-a-stellar-myx-live-peformance-of-industriya/ …pic.twitter.com/DyQeYweAGA",1492876086,MYXphilippines,34,0,4,0,reply
855800609072656384,Had such a great time at the @instrumenthead book launch at @420fest yesterday! Honored to be in the book with so many stellar musicians  pic.twitter.com/20mZnxwSHA,1492873739,natcressman,40,1,4,0,reply
855798874413441024,Total bliss @underbronsthlm 'cause @noiseandquiet new @tidalcycles set is sounding so stellar good!!!11 Tonight is going to b totes AMAZE ! pic.twitter.com/DKDZAnK5w7,1492873326,danielmkarlsson,20,3,6,0,reply
855798779202678784,Honoured to follow in some famous footsteps on a stellar podcast. Many thanks @geeksgalaxy/@WIRED! Perfect listening for #MTGAKH prerelease!https://twitter.com/geeksgalaxy/status/855773293319684096 … <quoted_status> In Episode 252 @tituschalk joins us to discuss the history of the card game MAGIC: THE GATHERING (@wizards_magic): https://www.wired.com/2017/04/geeks-guide-magic-gathering/ …</quoted_status>,1492873303,tituschalk,5,0,4,855773293319684096,quoted_retweet
855797582194331648,Good morning from Black Mountain Lodge! Clouds are clearing and it's going to be a stellar Saturday w/ fresh snow and sunny skies. #abasin70pic.twitter.com/kRjdPYqrnI,1492873018,Arapahoe_Basin,32,0,6,0,reply
855787217599508480,"Gold medals for Dymphna Morris Aer Lingus Masters in 800, 400 & 200 free. Irish record in the 200 STR at the Scottish Masters @Sportsmedirl",1492870547,SwimIrlMasters,21,0,1,0,reply
855784471550980099,\M/Enjoy\M/ https://www.youtube.com/watch?v=AmnyafH4Jls … @Fredovhell @mayra_str @nahum7616 @eva_zildjian @Scarlet_Chaos @ErikaDeBusk @Cavesskull @1carolinagirl,1492869892,Kim_Seung75,6,2,4,0,reply
855783573126864896,#WITS17 is off to the races!! So excited for a stellar weekend - thanks to @visitmilwaukee for hosting @WITSummit this year! pic.twitter.com/OXNIIDaPI9,1492869678,IBBtravel,5,0,4,0,reply
855783251075641344,Thanks to #HoltBeast's stellar performance last night - enjoy at FREE SANDWICH at @RoysRestaurants today! More info: http://WashCaps.com/WWTC  pic.twitter.com/gF9xEUWBH8,1492869601,Capitals,110,1,19,0,reply
