ID,Tweet,Time,User,Likes,Replies,Retweet,in_response_to,response_type
696857005676478464,@Excision hits Global Event Center 2/20 with his stellar #ParaodoxTour! Tix>http://www.ultimopresent.com   @UltimoDiscopic.twitter.com/0oAGb2Jwoi,1454978631,aconsciouswill,4,0,3,0,reply
696854997573697536,Stellar day in the studio! Lots of #carspots . Hoping for a repeat tomorrow! #voiceover #VoiceActress Maybe some #elearning ?,1454978153,WendyBVoiceOver,1,0,0,0,reply
696854769701289984,With my stellar inks! https://twitter.com/whycomics/status/696782775618121728 … <quoted_status> Panel of the week courtesy of @jasonaaron @ShadeX6 pic.twitter.com/EgxAbJ950i</quoted_status>,1454978098,1JohnLivesay,3,0,1,696782775618121728,quoted_retweet
696854247166464001,Songs SuperHit ! #IdhuNammaAalu ! @iam_str @thisisysr @pandiraj3 !pic.twitter.com/wXvuEzj28p,1454977974,ctcupdates,9,0,7,0,reply
696854143688843264,thought my eyes playing trick on me  @allkpop: Top 10 stellar performances of Super Junior http://www.allkpop.com/article/2016/02/top-10-stellar-performances-of-super-junior …pic.twitter.com/6VRTKPyZ6f,1454977949,WinterLove2H,1,1,1,0,reply
696853556528181248,"CF ORR STAKES NOMINATIONS

Stellar field set to line-up at Caulfield

http://www.bettingpro.com.au/category/horse-racing/cf-orr-stakes-nominations-20160208-0003/ …pic.twitter.com/X3ENLrxRwB",1454977809,racingbase,1,0,0,0,reply
696852463895314432,#HappyBirthdayTomHiddleston! Thanks for bringing some pretty stellar people into my life. <3,1454977548,travisthegrimm,9,0,1,0,reply
696852304016863232,#WeekInSoaps - #OLTL alum shines in stellar @Audi Super Bowl ad #SB50 #Audi | http://soapcentral.com/oltl/news/2016/0208-lawson.php#.VrjzW-g4UEU.twitter …pic.twitter.com/0fUy7unHRs,1454977510,soapcentral,5,0,1,0,reply
696852114925080576,Proud of our boy @RakeshBoury who did a stellar job at @KinkyKabaret @BendItMusical #crooningasian,1454977465,IrvineIqbal,3,0,0,0,reply
696851539453849602,"#IdhuNammaAalu Super Hit Songs

@iam_str @shrutihaasan @NayantharaU @pandiraj3 @madhankarky @ThenandalFilms @STRFanspic.twitter.com/4xibSTHv5G",1454977328,KollywudCinema,22,0,8,0,reply
696851023667798018,"@RPIAlumni receive a #CASED2 award - ""The judges thought it was stellar."" Congrats! #ProudAlumnapic.twitter.com/Zx3WvvP2OP",1454977205,JLCellini,5,0,1,0,reply
696850030771232768,"""Deliciously stellar"" article by @Chloe_journo on the #badscience of #eatclean gurus. @mcgregor_renee appraiseshttp://dailym.ai/23TtIYl ",1454976968,RD_Catherine,11,1,14,0,reply
696849895886495744,"Stellar package from malignant_records today: #yenpox ""Between the… https://www.instagram.com/p/BBi4gH4J3rmSIopmzAlb8Z5VQL9-nkgJpu7RGA0/ …",1454976936,plaguehaus,2,0,0,0,reply
696849756543283200,Seattle #HappyHour ideas? @AFARmedia has some stellar picks: http://www.afar.com/travel-tips/seattles-happy-hour-hangouts … @Lunchbox_Lab @coastalkitchenpic.twitter.com/6ocNQb7FzA,1454976903,VisitSeattle,10,0,6,0,reply
696849560883355650,"""don't disrespect stellar and put them in the same sentence as super junior"" pic.twitter.com/uvJhAfknKA",1454976856,nigajowang,0,0,5,0,reply
696846314542391300,Don't miss this stellar interview with @LisaGardnerBks author of FIND HER on @blogtalkradio!  #Author2Authorpic.twitter.com/myG3bDOnFg,1454976082,DuttonBooks,6,0,4,0,reply
696846140025782273,Walex Media Welcome Little Coded 2 d family @ team Street Tunez Entertainmentpic.twitter.com/c5ESBAKXwi,1454976041,str_tunez,2,0,0,0,reply
696846044253024257,"""Couldn't ask for a more dependable rod. 9'2"" STR 8-12#"" via FB/Kyle Sorenson pic.twitter.com/w2ZlIK9TG3",1454976018,FishGLoomis,13,0,4,0,reply
696846005032001536,都営新宿線て結構混んでるのね,1454976009,Stellar_ts,0,0,0,0,reply
696845986157744128,@JadeJoPS @AbdelLakhal1 @Mathilde_Klara @NightbladeM @jfkbismuth @BirgitLlinares @SUSIC2CS @STR_Ps @Degaulle8 @CrissaraGardens doucenuit ,1454976004,LouBalinou,1,0,1,696818150395011072,reply
,,,StellarOverload,0,0,0,,tweet
701864153787420673,Stellar interview by CVD pic.twitter.com/F0aPxWvqi6,1456172428,alecmcg32,30,0,5,0,reply
701897484835168257,"Duke didn't get quite as much love from the AP for a stellar week, but we're up to #15. A well deserved, restful week features only 1 game",1456180375,BlueDeviIs,50,2,19,0,reply
701841891692646400,[MH] Stellar performing w/ #memorial for all the performancess#WithThisStrawberryPie! We’d like a great reception.pic.twitter.com/J0XLBZKjQ6,1456167121,fyeahstellar,6,0,8,0,reply
701884182021201922,"Whoo (#RAINBOW) or Sting (#STELLAR) ?

RT for #Whoo  
FAV for #Stingpic.twitter.com/yU1mwpKsEx",1456177204,KPOPVS_,140,0,58,0,reply
701892502324776960,Stellar's Vibrato is still legendary btw,1456179187,glitterotic,4,1,2,0,reply
701917372899270656,Led my intramural basketball team to a stellar 0-4 on the season.. Unfortunately the only thing I led the team with was turnovers,1456185117,haydencash12,17,1,0,0,reply
701910492151808001,Stellar @anmlcollective take-over at @gorillavsbear today. The vid of Elis Regina+Antônio Carlos Jobim singing Aguas De Marco... Incredible.,1456183476,JoeyPollari,17,1,3,0,reply
701907250605068288,Me & my dude @travisgreenetv in the Stellar Award press room. This is my bro for real!!!… https://www.instagram.com/p/BCG0U3xxUnU/ ,1456182704,JJ_Hairston,9,0,5,0,reply
701904702858993667,What's the difference between Bitcoin and the Stellar network? @JedMcCaleb explains [video] https://www.youtube.com/watch?v=rRk2FoEy2Ew …pic.twitter.com/e3JcenXsU1,1456182096,StellarOrg,5,0,6,0,reply
701897681115836416,"Siiick bill. Besties @STR_RLTNS, 1 of our fave MPLS bands @vatsthreetimes, & Vancouver's finest @DeadSoftRulez!! https://twitter.com/turfclubmn/status/701895970523512832 … <quoted_status> Just announced: @FuryThings1 on Saturday, March 26 > http://j.mp/1L71yTu  pic.twitter.com/9AtJoF1jiw</quoted_status>",1456180422,FuryThings1,7,0,4,701895970523512832,quoted_retweet
701891917899022337,"STR Guest: If STRs are banned, Austin will lose something special @DeliaGarza @MayorAdler @SheriGalloD10pic.twitter.com/BthfKXM8Mf",1456179048,atxstrs,5,0,3,0,reply
701890453050798081,Stellar job by @CormackDavie & @Brightree team growing to $100M + ARR. Many congrats on the acquisition by @ResMed!http://www.prnewswire.com/news-releases/resmed-to-acquire-brightree-for-800-million-300223840.html …,1456178699,ChelsStoner,9,2,3,0,reply
701889224090501120,We scoured @Instagram to find these 10 stellar sneaker shots: http://s.hsnob.co/PRSJT9b pic.twitter.com/7R03hbgFfT,1456178406,highsnobiety,26,1,7,0,reply
701888248562507778,@beatvyne @Knoeline_Keane @irishmusicparty I've had Knoeline in studio a few times. Stellar voice. She'll go far ,1456178173,louclarkeradio,5,1,3,701887667550740480,reply
701887487975751680,We caught up with @flnteastwood & @_passalacqua_ at Friday's stellar show. Read the deets! http://ow.ly/YCZeH pic.twitter.com/rf53wdhSqa,1456177992,gcmagcmu,8,2,6,0,reply
701875126166368256,Backstage at the Stellar Awards over the weekend with my sister @yolandaadams and brother @marvinsapp with... http://fb.me/7NpsluLnm ,1456175044,officialkcs,20,1,5,0,reply
701873083691442176,#BDM member shows are out and this week's is f'n stellar! Feat. @SabrinaAmbra - my love...,1456174557,DanielDennis,12,1,2,0,reply
701871629312385024,Liverpool's @FestEVOL 2016 reveals stellar lineup for @CampandFurnace May spectacular! http://bit.ly/1WCUlv7 pic.twitter.com/1LDOcq58ZG,1456174211,GetintothisHQ,14,0,12,0,reply
701868061352194049,"What does a STELLAR team look like? It looks like this, the people who make @ixdconf happen: 

http://interaction16.ixda.org/team/ 
#ixd16 @ixdahel",1456173360,samin,14,0,9,0,reply
701861762942050305,Read 5 stellar #workflow design best practices from #Nintex's @vadim_tabakman - http://ow.ly/YuOR1 pic.twitter.com/vS5cwHLBua,1456171858,Nintex,3,0,4,0,reply
701861487653081088,The woman on university challenge could play a stellar serial killer. That stare is quite unnerving. #universitychallenge @UniversityChal,1456171793,Hevvvie,9,0,5,0,reply
701860608136736768,Freshmen of the Week (2.16) - Brody Steinhart for his stellar game v. DLS  @Brody_Steinhart,1456171583,calgrizzlies19,9,0,4,0,reply
701855056044417024,"Looking back over his stellar record of achievements as mayor, I'm shocked - shocked - to discover that Boris Johnson is an empty vessel.",1456170259,SnoozeInBrief,6,0,4,0,reply
701851457071554561,"Fantastic news for us at STR with the news of @Minispares sponsoring our 2016 campaign, we are proud to fly the flagpic.twitter.com/goL1TYCTyv",1456169401,ShaunTarltonR,18,1,8,0,reply
701850112713236480,"Bo Nickal had to replace a @pennstateWREST legend in 2015. So far, he's done a stellar job. http://pennstatermag.com/2016/02/22/bo-nickal-keeps-winning/ …pic.twitter.com/2RU7HvgfSJ",1456169081,pennstatermag,66,1,22,0,reply
701848639329738752,It was a sweep for red hot @SHUBigRed and its stellar backcourt in today's #NECMBB weekly accolades.pic.twitter.com/IdtkLUH6T0,1456168729,NECsports,10,0,8,0,reply
701848423138533376,"Challenge Cup will feature incredible startups, stellar judges & chance to earn up to $1M in funding. RSVP to join: http://bit.ly/1WEbSmT ",1456168678,rachelhaot,3,0,6,0,reply
701847731028021248,"I really wasn't sure how seriously to take @deray's run for #mayor of #Baltimore butseeing this stellar 25 page plan + his ads, I'm excited",1456168513,AdamSBeck,55,1,20,0,reply
701847046647476224,160220 Stellar Autograph Event @ Gimpo Lotte Mall #Stellar #스텔라pic.twitter.com/TgKraHQzTw,1456168350,stellarnote_,18,0,29,0,reply
701846500930883586,"Congratulations to @iamtinacampbell on her 2 Stellar Award wins last night, including TRADITIONAL CD OF THE YEAR for 'It's Personal'!!!",1456168220,parlemag,23,1,3,0,reply
701844432052576256,"Theatre of the Ayre and a stellar team of soloists bring music fit for the Chapel Royal to WH, Tue 23 Feb, 7.30pm: http://bit.ly/1WDWoz5 ",1456167726,wigmore_hall,5,0,4,0,reply
701842962519613440,V grateful to be part of stellar finalists lineup for FDM @everywomanUK #womenintech awards! #WomenDoTech @techUKpic.twitter.com/Ly7pciC1sZ,1456167376,shivvyjervis,14,2,4,0,reply
701840264806199296,Peter Cushing is back on @horror_channel @ 9pm alongside a stellar British cast in the classic shocker Tales From The Crypt,1456166733,horror_channel,14,1,2,0,reply
701837767433699328,"Congrats to Chelsea Wilkinson! Much deserved after a stellar weekend! #GoDawgs 

>> http://gado.gs/5e5  pic.twitter.com/12uzESyBfa",1456166137,UGASoftball,109,0,41,0,reply
701834013967785986,Some stellar photos of #EarlLee & @pkkolesnikov from Saturday's From Mozart to Rachmaninoff: http://ow.ly/YCnDR pic.twitter.com/KZ6ydk8jm9,1456165243,TorontoSymphony,12,0,7,0,reply
701826057205374976,Magnificent #fullmoon over #CapeTown from the 19th floor of the #WestinCPT. Can't wait to sample the stellar menu  pic.twitter.com/SVZh4a4upj,1456163345,Pia_AlexaDuarte,5,0,4,0,reply
701811732059136001,My new Love Sendlinger Str.17 @Hunkemoller @verbmel @PetraDierck @carinadacosta6pic.twitter.com/4CEQIpYQnX,1456159930,lilly2285,15,1,5,0,reply
701810244091932672,Massive crowd @Coimbatore police station @iam_str pic.twitter.com/t2b8gmIGjs,1456159575,iam_Tharani,9,0,3,0,reply
701809379524345856,@mayra_str @Fredovhell @Myrkur007 @nahum7616 @HueleALegion @gm2975 @MorrowWarrior @M6NSTER @GirluniqueXXX Thanks Great week Mayra and all :),1456159369,klotylda69,5,2,3,701806578522058752,reply
701806578522058752,Great week friends! #mondaymotivation #metalmonday \m/ @Fredovhell @Myrkur007 @nahum7616 https://www.youtube.com/watch?v=6lPiid1JyGA …pic.twitter.com/DhIHfT7ikC,1456158701,mayra_str,12,8,12,0,reply
701806251030614016,Missing tooth on Clematis Str. is one of the most important sites in the city but it's a parking lot #BuildHereNowpic.twitter.com/L2lrMw0ZeO – at Camelot,1456158623,WalkableWPB,9,1,4,0,reply
701801064102813696,STAT ROUNDUP: @TCU_Baseball’s Luken Baker’s stellar mound debut highlights Sunday leaders: http://d1ba.se/1oXLQAm pic.twitter.com/eEOkUax1PP,1456157387,aaronfitt,9,0,9,0,reply
701801051578462208,".@iam_str-@varusarath's #MrManmadhanForSale Theatrical Trailer

Watch: http://tollytracking.com/mr-manmadhan-for-sale-theatrical-trailer/ … 

:#Podaapodi Dub:pic.twitter.com/2mT4pygVy6",1456157384,TTMovieNews,6,0,4,0,reply
701796108767354880,"Wat a Support From @iam_str Huge Fanz in #Cbe  & 
Thanq @roboshankar_ofl  bro  #BeepSong #STRfans & thank U Flokzpic.twitter.com/QDVALBW9DS",1456156205,iam_str2,8,0,2,0,reply
701794384560263168,@roboshankar_ofl @iam_str wow Great Bro #ROBO bro we r Not a simple #STR fans Vera level str fans thankz a lot brooo #BeepSong #cbe,1456155794,iam_str2,9,0,4,701732763997642752,reply
701793499973181440,"""Don't overthink. Jump in."" Stellar advice about video and life from @meeterica. #smbmsp87",1456155583,ARTCRANK,9,2,1,0,reply
701789982311260160,Rendering STR video :),1456154745,_aarava,13,0,1,0,reply
701789594920964100,This is called Mass :)) happen only for #STR :))) @iam_str @STRFanspic.twitter.com/3PePc7AlyJ,1456154652,Actor_SimbuFC,156,7,67,0,reply
701787598143016961,"Stellar profile of Dark Room Collective, which incl. @Deardarkness Tracy K. Smith @Poet_Major @NTrethewey as membershttp://harvardmagazine.com/2016/03/elbow-room …",1456154176,mtaeckens,8,0,6,0,reply
701783782110720000,20 stellar things to do in NYC this week: http://ow.ly/YBlkV pic.twitter.com/5PD3q4UVSh,1456153266,TimeOutNewYork,38,3,16,0,reply
701781043217571842,Start your week with a recipe for stellar #marketing http://ow.ly/X6opx  #MondayMotivation Tip @LinkedInMKTGpic.twitter.com/yqKtkDqTth,1456152613,MorganNetwork,6,0,4,0,reply
701778587674923008,.@thederekminor wins Rap/Hip-Hop Gospel CD of the Year for 'Empire' at 2016 Stellar Awards http://bit.ly/1XHqT8m pic.twitter.com/QVfCkqRj7x,1456152028,Rapzilla,26,2,12,0,reply
701778492044644352,#STR fans proof it pic.twitter.com/NHqSVWliKa,1456152005,JayJey23,7,0,8,0,reply
