Category: All categories

Day,Dogecoin: (Worldwide)
2016-01-01,47
2016-01-02,46
2016-01-03,62
2016-01-04,72
2016-01-05,34
2016-01-06,65
2016-01-07,44
2016-01-08,48
2016-01-09,63
2016-01-10,68
2016-01-11,81
2016-01-12,53
2016-01-13,53
2016-01-14,43
2016-01-15,60
2016-01-16,64
2016-01-17,61
2016-01-18,56
2016-01-19,30
2016-01-20,56
2016-01-21,47
2016-01-22,60
2016-01-23,41
2016-01-24,52
2016-01-25,47
2016-01-26,89
2016-01-27,100
2016-01-28,80
2016-01-29,80
2016-01-30,66
2016-01-31,55
2016-02-01,64
