Category: All categories

Day,Bitcoin: (Worldwide)
2017-01-01,46
2017-01-02,80
2017-01-03,72
2017-01-04,84
2017-01-05,100
2017-01-06,86
2017-01-07,73
2017-01-08,64
2017-01-09,63
2017-01-10,57
2017-01-11,67
2017-01-12,67
2017-01-13,57
2017-01-14,52
2017-01-15,48
2017-01-16,47
2017-01-17,52
2017-01-18,51
2017-01-19,47
2017-01-20,46
2017-01-21,43
2017-01-22,44
2017-01-23,46
2017-01-24,46
2017-01-25,44
2017-01-26,43
2017-01-27,43
2017-01-28,43
2017-01-29,40
2017-01-30,41
2017-01-31,47
2017-02-01,47
