Category: All categories

Day,Ripple: (Worldwide)
2013-12-05,99
2013-12-06,90
2013-12-07,89
2013-12-08,86
2013-12-09,88
2013-12-10,97
2013-12-11,89
2013-12-12,78
2013-12-13,93
2013-12-14,81
2013-12-15,87
2013-12-16,90
2013-12-17,88
2013-12-18,94
2013-12-19,92
2013-12-20,87
2013-12-21,82
2013-12-22,95
2013-12-23,95
2013-12-24,85
2013-12-25,62
2013-12-26,100
2013-12-27,100
2013-12-28,96
2013-12-29,85
2013-12-30,90
2013-12-31,86
2014-01-01,88
2014-01-02,73
2014-01-03,81
2014-01-04,73
2014-01-05,66
