Category: All categories

Day,Bitcoin: (Worldwide)
2014-12-01,41
2014-12-02,46
2014-12-03,43
2014-12-04,42
2014-12-05,41
2014-12-06,42
2014-12-07,45
2014-12-08,45
2014-12-09,43
2014-12-10,43
2014-12-11,60
2014-12-12,55
2014-12-13,45
2014-12-14,45
2014-12-15,44
2014-12-16,50
2014-12-17,52
2014-12-18,51
2014-12-19,45
2014-12-20,41
2014-12-21,44
2014-12-22,43
2014-12-23,47
2014-12-24,42
2014-12-25,43
2014-12-26,52
2014-12-27,100
2014-12-28,41
2014-12-29,43
2014-12-30,43
2014-12-31,44
2015-01-01,40
