Category: All categories

Day,Dogecoin: (Worldwide)
2018-03-01,69
2018-03-02,73
2018-03-03,63
2018-03-04,72
2018-03-05,72
2018-03-06,63
2018-03-07,72
2018-03-08,65
2018-03-09,69
2018-03-10,63
2018-03-11,61
2018-03-12,100
2018-03-13,66
2018-03-14,65
2018-03-15,60
2018-03-16,58
2018-03-17,68
2018-03-18,58
2018-03-19,49
2018-03-20,59
2018-03-21,54
2018-03-22,57
2018-03-23,58
2018-03-24,60
2018-03-25,56
2018-03-26,55
2018-03-27,58
2018-03-28,58
2018-03-29,58
2018-03-30,53
2018-03-31,58
2018-04-01,59
