Category: All categories

Day,Bitcoin: (Worldwide)
2015-07-01,79
2015-07-02,71
2015-07-03,71
2015-07-04,67
2015-07-05,81
2015-07-06,88
2015-07-07,81
2015-07-08,83
2015-07-09,77
2015-07-10,85
2015-07-11,76
2015-07-12,86
2015-07-13,81
2015-07-14,75
2015-07-15,69
2015-07-16,72
2015-07-17,66
2015-07-18,70
2015-07-19,69
2015-07-20,66
2015-07-21,65
2015-07-22,66
2015-07-23,65
2015-07-24,67
2015-07-25,63
2015-07-26,67
2015-07-27,73
2015-07-28,65
2015-07-29,68
2015-07-30,59
2015-07-31,60
2015-08-01,100
