Category: All categories

Day,Bitcoin: (Worldwide)
2015-05-01,75
2015-05-02,67
2015-05-03,66
2015-05-04,79
2015-05-05,72
2015-05-06,70
2015-05-07,75
2015-05-08,74
2015-05-09,69
2015-05-10,71
2015-05-11,79
2015-05-12,79
2015-05-13,76
2015-05-14,90
2015-05-15,80
2015-05-16,69
2015-05-17,79
2015-05-18,79
2015-05-19,87
2015-05-20,89
2015-05-21,77
2015-05-22,74
2015-05-23,77
2015-05-24,82
2015-05-25,74
2015-05-26,77
2015-05-27,77
2015-05-28,72
2015-05-29,81
2015-05-30,100
2015-05-31,86
2015-06-01,77
