Category: All categories

Day,Dogecoin: (Worldwide)
2017-12-01,20
2017-12-02,17
2017-12-03,19
2017-12-04,20
2017-12-05,22
2017-12-06,24
2017-12-07,34
2017-12-08,32
2017-12-09,31
2017-12-10,26
2017-12-11,28
2017-12-12,43
2017-12-13,52
2017-12-14,46
2017-12-15,39
2017-12-16,67
2017-12-17,88
2017-12-18,59
2017-12-19,53
2017-12-20,51
2017-12-21,76
2017-12-22,56
2017-12-23,57
2017-12-24,58
2017-12-25,100
2017-12-26,62
2017-12-27,62
2017-12-28,49
2017-12-29,51
2017-12-30,51
2017-12-31,45
2018-01-01,42
