Category: All categories

Day,Dogecoin: (Worldwide)
2015-12-01,52
2015-12-02,69
2015-12-03,61
2015-12-04,68
2015-12-05,73
2015-12-06,48
2015-12-07,66
2015-12-08,84
2015-12-09,91
2015-12-10,59
2015-12-11,56
2015-12-12,82
2015-12-13,75
2015-12-14,83
2015-12-15,74
2015-12-16,100
2015-12-17,83
2015-12-18,69
2015-12-19,67
2015-12-20,90
2015-12-21,78
2015-12-22,56
2015-12-23,65
2015-12-24,61
2015-12-25,75
2015-12-26,65
2015-12-27,80
2015-12-28,43
2015-12-29,64
2015-12-30,69
2015-12-31,67
2016-01-01,46
