Category: All categories

Day,Litecoin: (Worldwide)
2014-07-05,99
2014-07-06,100
2014-07-07,83
2014-07-08,71
2014-07-09,65
2014-07-10,75
2014-07-11,56
2014-07-12,79
2014-07-13,40
2014-07-14,66
2014-07-15,59
2014-07-16,75
2014-07-17,70
2014-07-18,59
2014-07-19,49
2014-07-20,74
2014-07-21,90
2014-07-22,74
2014-07-23,49
2014-07-24,68
2014-07-25,63
2014-07-26,63
2014-07-27,70
2014-07-28,81
2014-07-29,71
2014-07-30,49
2014-07-31,58
2014-08-01,59
2014-08-02,48
2014-08-03,55
2014-08-04,55
2014-08-05,67
