Category: All categories

Day,Bitcoin: (Worldwide)
2016-08-01,48
2016-08-02,58
2016-08-03,100
2016-08-04,65
2016-08-05,53
2016-08-06,47
2016-08-07,48
2016-08-08,52
2016-08-09,46
2016-08-10,46
2016-08-11,45
2016-08-12,42
2016-08-13,43
2016-08-14,38
2016-08-15,46
2016-08-16,43
2016-08-17,43
2016-08-18,42
2016-08-19,39
2016-08-20,41
2016-08-21,38
2016-08-22,43
2016-08-23,45
2016-08-24,42
2016-08-25,43
2016-08-26,44
2016-08-27,42
2016-08-28,41
2016-08-29,44
2016-08-30,42
2016-08-31,42
2016-09-01,43
