Category: All categories

Day,Bitcoin: (Worldwide)
2016-07-01,80
2016-07-02,75
2016-07-03,75
2016-07-04,73
2016-07-05,77
2016-07-06,74
2016-07-07,80
2016-07-08,77
2016-07-09,100
2016-07-10,81
2016-07-11,77
2016-07-12,71
2016-07-13,69
2016-07-14,67
2016-07-15,63
2016-07-16,60
2016-07-17,65
2016-07-18,61
2016-07-19,65
2016-07-20,60
2016-07-21,60
2016-07-22,58
2016-07-23,55
2016-07-24,56
2016-07-25,59
2016-07-26,65
2016-07-27,70
2016-07-28,59
2016-07-29,58
2016-07-30,54
2016-07-31,60
2016-08-01,67
