Category: All categories

Day,Ripple: (Worldwide)
2016-02-05,78
2016-02-06,66
2016-02-07,62
2016-02-08,72
2016-02-09,62
2016-02-10,74
2016-02-11,91
2016-02-12,100
2016-02-13,88
2016-02-14,65
2016-02-15,73
2016-02-16,85
2016-02-17,81
2016-02-18,71
2016-02-19,69
2016-02-20,73
2016-02-21,69
2016-02-22,71
2016-02-23,67
2016-02-24,83
2016-02-25,79
2016-02-26,81
2016-02-27,72
2016-02-28,75
2016-02-29,75
2016-03-01,87
2016-03-02,76
2016-03-03,70
2016-03-04,74
2016-03-05,77
2016-03-06,73
2016-03-07,72
2016-03-08,78
2016-03-09,76
2016-03-10,77
2016-03-11,79
2016-03-12,74
2016-03-13,68
2016-03-14,68
2016-03-15,72
2016-03-16,80
2016-03-17,73
2016-03-18,81
2016-03-19,67
2016-03-20,65
2016-03-21,66
2016-03-22,75
2016-03-23,79
2016-03-24,76
2016-03-25,65
2016-03-26,79
2016-03-27,71
2016-03-28,68
2016-03-29,68
2016-03-30,81
2016-03-31,74
2016-04-01,70
2016-04-02,62
2016-04-03,72
2016-04-04,75
2016-04-05,69
