Category: All categories

Day,Bitcoin: (Worldwide)
2016-01-01,60
2016-01-02,65
2016-01-03,66
2016-01-04,69
2016-01-05,63
2016-01-06,68
2016-01-07,79
2016-01-08,77
2016-01-09,66
2016-01-10,65
2016-01-11,69
2016-01-12,68
2016-01-13,67
2016-01-14,64
2016-01-15,96
2016-01-16,100
2016-01-17,80
2016-01-18,81
2016-01-19,79
2016-01-20,85
2016-01-21,74
2016-01-22,71
2016-01-23,69
2016-01-24,60
2016-01-25,65
2016-01-26,69
2016-01-27,66
2016-01-28,68
2016-01-29,61
2016-01-30,58
2016-01-31,61
2016-02-01,63
