Category: All categories

Day,Dogecoin: (Worldwide)
2015-01-01,58
2015-01-02,90
2015-01-03,79
2015-01-04,75
2015-01-05,72
2015-01-06,92
2015-01-07,76
2015-01-08,87
2015-01-09,84
2015-01-10,73
2015-01-11,100
2015-01-12,99
2015-01-13,83
2015-01-14,78
2015-01-15,98
2015-01-16,71
2015-01-17,66
2015-01-18,73
2015-01-19,81
2015-01-20,74
2015-01-21,73
2015-01-22,79
2015-01-23,48
2015-01-24,88
2015-01-25,79
2015-01-26,81
2015-01-27,51
2015-01-28,56
2015-01-29,62
2015-01-30,43
2015-01-31,60
2015-02-01,61
