Category: All categories

Day,Dogecoin: (Worldwide)
2017-03-01,70
2017-03-02,53
2017-03-03,71
2017-03-04,100
2017-03-05,74
2017-03-06,74
2017-03-07,60
2017-03-08,72
2017-03-09,76
2017-03-10,67
2017-03-11,58
2017-03-12,89
2017-03-13,78
2017-03-14,73
2017-03-15,64
2017-03-16,85
2017-03-17,63
2017-03-18,79
2017-03-19,73
2017-03-20,74
2017-03-21,49
2017-03-22,81
2017-03-23,65
2017-03-24,73
2017-03-25,84
2017-03-26,80
2017-03-27,72
2017-03-28,67
2017-03-29,52
2017-03-30,74
2017-03-31,85
2017-04-01,96
