Category: All categories

Day,Litecoin: (Worldwide)
2013-07-05,68
2013-07-06,66
2013-07-07,100
2013-07-08,70
2013-07-09,69
2013-07-10,61
2013-07-11,63
2013-07-12,50
2013-07-13,69
2013-07-14,68
2013-07-15,55
2013-07-16,54
2013-07-17,63
2013-07-18,50
2013-07-19,45
2013-07-20,51
2013-07-21,61
2013-07-22,44
2013-07-23,70
2013-07-24,54
2013-07-25,63
2013-07-26,48
2013-07-27,48
2013-07-28,36
2013-07-29,48
2013-07-30,56
2013-07-31,46
2013-08-01,59
2013-08-02,41
2013-08-03,35
2013-08-04,45
2013-08-05,73
