Category: All categories

Day,Bitcoin: (Worldwide)
2014-08-01,60
2014-08-02,58
2014-08-03,60
2014-08-04,59
2014-08-05,65
2014-08-06,70
2014-08-07,68
2014-08-08,64
2014-08-09,64
2014-08-10,62
2014-08-11,66
2014-08-12,67
2014-08-13,100
2014-08-14,84
2014-08-15,83
2014-08-16,84
2014-08-17,70
2014-08-18,82
2014-08-19,78
2014-08-20,79
2014-08-21,68
2014-08-22,68
2014-08-23,63
2014-08-24,63
2014-08-25,57
2014-08-26,67
2014-08-27,59
2014-08-28,60
2014-08-29,62
2014-08-30,62
2014-08-31,66
2014-09-01,75
