Category: All categories

Day,Dogecoin: (Worldwide)
2015-05-01,63
2015-05-02,45
2015-05-03,78
2015-05-04,59
2015-05-05,70
2015-05-06,62
2015-05-07,42
2015-05-08,59
2015-05-09,33
2015-05-10,54
2015-05-11,56
2015-05-12,91
2015-05-13,63
2015-05-14,68
2015-05-15,66
2015-05-16,77
2015-05-17,69
2015-05-18,63
2015-05-19,58
2015-05-20,69
2015-05-21,58
2015-05-22,60
2015-05-23,64
2015-05-24,86
2015-05-25,57
2015-05-26,72
2015-05-27,81
2015-05-28,100
2015-05-29,93
2015-05-30,65
2015-05-31,60
2015-06-01,60
