Category: All categories

Day,Bitcoin: (Worldwide)
2015-03-01,74
2015-03-02,78
2015-03-03,84
2015-03-04,82
2015-03-05,84
2015-03-06,97
2015-03-07,100
2015-03-08,88
2015-03-09,84
2015-03-10,88
2015-03-11,91
2015-03-12,89
2015-03-13,88
2015-03-14,78
2015-03-15,83
2015-03-16,80
2015-03-17,85
2015-03-18,86
2015-03-19,85
2015-03-20,79
2015-03-21,77
2015-03-22,76
2015-03-23,81
2015-03-24,79
2015-03-25,84
2015-03-26,75
2015-03-27,74
2015-03-28,65
2015-03-29,69
2015-03-30,81
2015-03-31,80
2015-04-01,79
