Category: All categories

Day,Dogecoin: (Worldwide)
2014-01-01,21
2014-01-02,25
2014-01-03,24
2014-01-04,23
2014-01-05,23
2014-01-06,21
2014-01-07,21
2014-01-08,20
2014-01-09,21
2014-01-10,22
2014-01-11,23
2014-01-12,15
2014-01-13,18
2014-01-14,31
2014-01-15,30
2014-01-16,30
2014-01-17,24
2014-01-18,30
2014-01-19,34
2014-01-20,81
2014-01-21,100
2014-01-22,71
2014-01-23,67
2014-01-24,61
2014-01-25,50
2014-01-26,49
2014-01-27,42
2014-01-28,45
2014-01-29,47
2014-01-30,46
2014-01-31,51
2014-02-01,46
