Category: All categories

Day,Litecoin: (Worldwide)
2017-01-05,100
2017-01-06,80
2017-01-07,82
2017-01-08,80
2017-01-09,66
2017-01-10,71
2017-01-11,62
2017-01-12,64
2017-01-13,62
2017-01-14,73
2017-01-15,70
2017-01-16,61
2017-01-17,58
2017-01-18,73
2017-01-19,50
2017-01-20,43
2017-01-21,69
2017-01-22,68
2017-01-23,51
2017-01-24,55
2017-01-25,47
2017-01-26,56
2017-01-27,50
2017-01-28,80
2017-01-29,45
2017-01-30,77
2017-01-31,90
2017-02-01,62
2017-02-02,57
2017-02-03,79
2017-02-04,50
2017-02-05,67
