Category: All categories

Day,Bitcoin: (Worldwide)
2013-12-01,75
2013-12-02,80
2013-12-03,71
2013-12-04,66
2013-12-05,92
2013-12-06,84
2013-12-07,90
2013-12-08,63
2013-12-09,65
2013-12-10,59
2013-12-11,57
2013-12-12,54
2013-12-13,55
2013-12-14,45
2013-12-15,49
2013-12-16,55
2013-12-17,55
2013-12-18,100
2013-12-19,67
2013-12-20,50
2013-12-21,46
2013-12-22,45
2013-12-23,44
2013-12-24,40
2013-12-25,38
2013-12-26,37
2013-12-27,38
2013-12-28,36
2013-12-29,34
2013-12-30,34
2013-12-31,34
2014-01-01,30
