Category: All categories

Day,Bitcoin: (Worldwide)
2016-12-01,61
2016-12-02,61
2016-12-03,55
2016-12-04,56
2016-12-05,60
2016-12-06,60
2016-12-07,58
2016-12-08,60
2016-12-09,56
2016-12-10,53
2016-12-11,55
2016-12-12,58
2016-12-13,59
2016-12-14,56
2016-12-15,55
2016-12-16,57
2016-12-17,57
2016-12-18,54
2016-12-19,59
2016-12-20,58
2016-12-21,73
2016-12-22,88
2016-12-23,100
2016-12-24,84
2016-12-25,74
2016-12-26,73
2016-12-27,82
2016-12-28,97
2016-12-29,95
2016-12-30,85
2016-12-31,72
2017-01-01,74
