Category: All categories

Day,Dogecoin: (Worldwide)
2018-01-01,31
2018-01-02,37
2018-01-03,37
2018-01-04,40
2018-01-05,62
2018-01-06,97
2018-01-07,84
2018-01-08,100
2018-01-09,74
2018-01-10,58
2018-01-11,43
2018-01-12,44
2018-01-13,41
2018-01-14,34
2018-01-15,32
2018-01-16,34
2018-01-17,31
2018-01-18,30
2018-01-19,24
2018-01-20,25
2018-01-21,25
2018-01-22,20
2018-01-23,21
2018-01-24,23
2018-01-25,22
2018-01-26,20
2018-01-27,21
2018-01-28,20
2018-01-29,18
2018-01-30,17
2018-01-31,17
2018-02-01,17
