Category: All categories

Day,Litecoin: (Worldwide)
2013-12-05,100
2013-12-06,83
2013-12-07,80
2013-12-08,70
2013-12-09,83
2013-12-10,75
2013-12-11,74
2013-12-12,79
2013-12-13,65
2013-12-14,70
2013-12-15,66
2013-12-16,64
2013-12-17,62
2013-12-18,67
2013-12-19,56
2013-12-20,56
2013-12-21,46
2013-12-22,48
2013-12-23,46
2013-12-24,44
2013-12-25,42
2013-12-26,47
2013-12-27,44
2013-12-28,44
2013-12-29,38
2013-12-30,39
2013-12-31,35
2014-01-01,32
2014-01-02,39
2014-01-03,42
2014-01-04,40
2014-01-05,43
