Category: All categories

Day,Dogecoin: (Worldwide)
2017-08-01,70
2017-08-02,75
2017-08-03,70
2017-08-04,56
2017-08-05,78
2017-08-06,69
2017-08-07,75
2017-08-08,86
2017-08-09,75
2017-08-10,80
2017-08-11,76
2017-08-12,74
2017-08-13,88
2017-08-14,64
2017-08-15,100
2017-08-16,87
2017-08-17,76
2017-08-18,78
2017-08-19,72
2017-08-20,77
2017-08-21,70
2017-08-22,78
2017-08-23,88
2017-08-24,82
2017-08-25,60
2017-08-26,78
2017-08-27,84
2017-08-28,78
2017-08-29,99
2017-08-30,97
2017-08-31,93
2017-09-01,95
