Category: All categories

Day,Dogecoin: (Worldwide)
2014-07-01,86
2014-07-02,77
2014-07-03,72
2014-07-04,100
2014-07-05,79
2014-07-06,93
2014-07-07,69
2014-07-08,72
2014-07-09,70
2014-07-10,64
2014-07-11,70
2014-07-12,50
2014-07-13,70
2014-07-14,66
2014-07-15,84
2014-07-16,76
2014-07-17,69
2014-07-18,74
2014-07-19,77
2014-07-20,69
2014-07-21,67
2014-07-22,69
2014-07-23,75
2014-07-24,58
2014-07-25,74
2014-07-26,79
2014-07-27,84
2014-07-28,66
2014-07-29,59
2014-07-30,48
2014-07-31,58
2014-08-01,50
